Id,Title,Body,Tags,CreationDate
"760523","how to find a folder based on creation time","<p>I would like to write a small script that:  </p>

<ol>
<li><p>finds the creation date/time of a folder on a server that creates a backup folder every two days  with the date as 2016 04 22 as folder name  </p></li>
<li><p>remove the  whole folder using rm so i can get the disk space back free. </p></li>
<li><p>then,this script should run on a regular basis with some cron.  </p></li>
</ol>

<p>Any ideas?</p>
","<scripts><backup><cron>","2016-04-22 12:32:39"
"760733","Error in installing ROS indego Ubuntu 14.04 in Mac OS","<p>i tried to download ROS indego more than 3 times and i always receive the same error in the end of the installation : i followed the instructions here <a href=""http://wiki.ros.org/indigo/Installation/Ubuntu"" rel=""nofollow"">http://wiki.ros.org/indigo/Installation/Ubuntu</a> </p>

<p>my laptop is 14.04 LTS</p>

<p>N: Ignoring file 'ros-latest.listsudo' in directory '/etc/apt/sources.list.d/' as it has an invalid filename extension</p>

<p>N: Ignoring file 'ros-latest.listsudo' in directory '/etc/apt/sources.list.d/' as it has an invalid filename extension</p>

<p>what is the solution ??</p>
","<14.04>","2016-04-22 18:03:29"
"761835","Is it possible to fix failed upgrade using Ubuntu install?","<p>Suppose that I crashed my system during upgrade.
does Ubuntu installation can detect and fix previously installed system?</p>
","<upgrade>","2016-04-24 13:32:20"
"762286","Since ubuntu 16.04 javaws no longer run app while previously run fine on ubuntu 15.10","<p>Since ubuntu 16.04, I can't launch java web start app.
On ubuntu 15.10 it was Okay</p>

<pre><code>crash@Dell-Latitude-E6520:~$ javaws Téléchargements/asdm.jnlp
  Codebase matches codebase manifest attribute, and application is signed. 
Continuing. See: http://docs.oracle.com/javase/7/docs/technotes/guides/jweb/security/no_redeploy.html for details. 
netx: Launch Error: Could not launch JNLP file. ( ( (For input string: ""03-Ubuntu""))) 
net.sourceforge.jnlp.LaunchException: Fatal: Launch Error: Could not launch JNLP file. The application has not been initialized, for more information execute javaws/browser from the command line and send a bug report.
    at net.sourceforge.jnlp.Launcher.launchApplication(Launcher.java:580)
    at net.sourceforge.jnlp.Launcher$TgThread.run(Launcher.java:936)
 Caused by: java.lang.reflect.InvocationTargetException
    at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
    at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
    at java.lang.reflect.Method.invoke(Method.java:498)
    at net.sourceforge.jnlp.Launcher.launchApplication(Launcher.java:574)
    ... 1 more Caused by: java.lang.ExceptionInInitializerError
    at com.cisco.launcher.s.if(Unknown Source)
    at com.cisco.launcher.Launcher.main(Unknown Source)
    ... 6 more Caused by: java.lang.NumberFormatException: For input string: ""03-Ubuntu""
    at java.lang.NumberFormatException.forInputString(NumberFormatException.java:65)
    at java.lang.Integer.parseInt(Integer.java:580)
    at java.lang.Integer.parseInt(Integer.java:615)
    at com.cisco.launcher.ClassUtil.&lt;clinit&gt;(Unknown Source)
    ... 8 more
</code></pre>
","<java><16.04>","2016-04-25 08:59:17"
"762450","Not able to ssh as root on 14.04.2","<p>I have done all the workarounds, yet, I am still not able to ssh as root.
I have already modified <code>PermitRootLogin</code> to yes, and I have reset <code>ssh</code> services. I have even rebooted the VM, but it is just not working.</p>

<pre><code># Authentication:
LoginGraceTime 120
PermitRootLogin yes
StrictModes yes
</code></pre>
","<ssh><password><root><authentication>","2016-04-25 13:55:51"
"763452","Cannot login into Ubuntu 16.04 - Some kind of error","<p>I'm unable to log in into Ubuntu 16.04. It is fresh installation from yesterday. Everything was working until I opened my PC today. I cannot believe that something like that happen. Could anyone help me with it? What should I do? I have Laptop HP Envy - i7 . </p>

<p>Even, please tell me how to open bootable USB Pendrive to install it one again. I Just have Ubuntu OS and I cannot see BIOS display. Ubuntu is loading from the start.</p>

<p><a href=""https://i.sstatic.net/sKtdk.jpg"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/sKtdk.jpg"" alt=""enter image description here""></a></p>

<p><a href=""https://i.sstatic.net/Ic89o.jpg"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/Ic89o.jpg"" alt=""enter image description here""></a></p>
","<boot><login><live-usb><16.04><bios>","2016-04-26 22:27:12"
"763684","Lubuntu keeps on installing as if it is in a loop","<p>Why does Lubuntu keep on installing? Goes into a loop. Gets to the point where is says you must reboot now. I click the reboot button and lo and behold, it starts installing again. What must I do? I am at the end of my tether here. </p>
","<system-installation><system><usb-installation>","2016-04-27 11:13:52"
"763902","""Dependency is not satisfiable:lsb core (>=3.0)"" while downloading Hamachi","<p>Hello I'm using Ubuntu MATE 16.04. I have a problem. I want to play Minecraft with my friends on our server. I own the server. We will connect by using hamachi. I downloaded Haguichi but it needs Hamachi.I downloaded the "".deb"" file,I don't know how to open other files like <strong>"".rpm""</strong> or <strong>"".tgz""</strong>. I opened it with Ubuntu Software Center and it said <strong>""Dependency is not satisfiable:lsb core (>=3.0)"".</strong>  </p>

<p>How do I fix it ? Also I looked other satisfiable errors but I'm not sure if it works for me.</p>
","<server><software-center><16.04>","2016-04-27 17:54:13"
"764545","public key is not available http://mirror.ppa.trinitydesktop.org","<p>Getting the <strong>""because the public key is not available: NO_PUBKEY 96C95152F5CFC95C""</strong> for <em>mirror.ppa.trinitydesktop.org</em></p>

<p>Tried several suggestion but they did NOT work.</p>

<p><strong>How do I install a public key for mirror.ppa.trinitydesktop.org?</strong></p>
","<16.04><upgrade>","2016-04-28 20:28:16"
"764941","Executing shell script","<p>I have a script:</p>

<pre><code>echo ""start""
cd ~/GoogleDrive/
drive push path-to-file/
echo ""done""
</code></pre>

<p>which uploads path-to file to my Google Drive account. I can run this script without any problem by <code>sh UploadToDrive.sh</code> but when I try to execute it by means of double clicking on the script I get the error </p>

<pre><code>start
/home/user/UploadToDrive.sh: 3: /home/user/UploadToDrive.sh: drive: not found
done 
</code></pre>

<p>I posted it here because it seems like Gnome is doing something wrong rather than there is something wrong with the script, as it works when I use <code>sh</code> or <code>./</code> explicitly. I am using Ubuntu 15.10 with Gnome 3, if it is relevant.</p>

<p></p>
","<gnome><scripts><15.10><sh>","2016-04-29 12:53:40"
